Filename,Model,Dataset,Seed,Fold,MAE_15m,RMSE_15m,MAPE_15m,MAE_30m,RMSE_30m,MAPE_30m,MAE_60m,RMSE_60m,MAPE_60m
adaptive_tgcn_adaptive_pems08_seed42_default.json,AdaptiveTGCN,PEMS08,42,default,86.0,113.45,137.11,86.46,114.55,133.85,88.71,118.17,128.92
adaptive_tgcn_fused_fixed_a0.5_pems08_seed42_default.json,AdaptiveTGCN,PEMS08,42,default,20.18,29.28,15.18,21.95,32.4,16.39,25.93,38.42,19.94
adaptive_tgcn_fused_learnable_k10_pems08_seed42_default.json,AdaptiveTGCN,PEMS08,42,default,19.04,27.91,14.19,21.09,31.54,15.24,25.41,37.98,18.75
adaptive_tgcn_fused_learnable_k10_reg_pems08_seed42_default.json,AdaptiveTGCN,PEMS08,42,default,18.87,27.79,13.4,20.75,31.15,14.51,25.25,37.79,17.79
adaptive_tgcn_fused_learnable_k20_pems08_seed42_default.json,AdaptiveTGCN,PEMS08,42,default,19.05,28.0,13.9,21.14,31.59,15.57,25.6,38.06,19.84
adaptive_tgcn_fused_learnable_k5_pems04_seed42_fold0.json,AdaptiveTGCN,PEMS04,42,0,24.31,36.94,18.29,27.24,41.14,20.25,33.19,49.42,24.64
adaptive_tgcn_fused_learnable_k5_pems04_seed42_fold1.json,AdaptiveTGCN,PEMS04,42,1,24.27,36.9,16.62,27.2,41.03,18.61,33.16,49.34,22.96
adaptive_tgcn_fused_learnable_k5_pems04_seed42_fold2.json,AdaptiveTGCN,PEMS04,42,2,23.2,35.01,17.46,25.68,38.49,19.04,30.9,45.66,22.93
adaptive_tgcn_fused_learnable_k5_pems04_seed42_fold3.json,AdaptiveTGCN,PEMS04,42,3,23.74,36.41,17.04,26.59,40.37,18.81,32.3,48.1,22.95
adaptive_tgcn_fused_learnable_k5_pems04_seed52_fold0.json,AdaptiveTGCN,PEMS04,52,0,24.18,36.99,17.59,27.13,41.22,19.59,33.14,49.58,24.12
adaptive_tgcn_fused_learnable_k5_pems04_seed52_fold1.json,AdaptiveTGCN,PEMS04,52,1,24.19,36.73,17.27,27.11,40.9,19.19,33.09,49.39,23.53
adaptive_tgcn_fused_learnable_k5_pems04_seed52_fold2.json,AdaptiveTGCN,PEMS04,52,2,23.23,34.97,17.39,25.79,38.61,19.11,30.99,45.85,22.96
adaptive_tgcn_fused_learnable_k5_pems04_seed52_fold3.json,AdaptiveTGCN,PEMS04,52,3,24.2,36.97,17.8,27.04,40.94,19.6,32.61,48.5,23.58
adaptive_tgcn_fused_learnable_k5_pems04_seed62_fold0.json,AdaptiveTGCN,PEMS04,62,0,24.1,36.64,17.72,27.01,40.83,19.84,32.84,49.01,24.82
adaptive_tgcn_fused_learnable_k5_pems04_seed62_fold1.json,AdaptiveTGCN,PEMS04,62,1,24.68,37.38,17.75,27.66,41.65,19.61,33.72,50.43,23.76
adaptive_tgcn_fused_learnable_k5_pems04_seed62_fold2.json,AdaptiveTGCN,PEMS04,62,2,23.25,35.02,17.43,25.72,38.55,18.89,30.84,45.81,22.28
adaptive_tgcn_fused_learnable_k5_pems04_seed62_fold3.json,AdaptiveTGCN,PEMS04,62,3,23.87,36.26,17.36,26.74,40.36,19.29,32.51,48.34,24.0
adaptive_tgcn_fused_learnable_k5_pems08_seed42_default.json,AdaptiveTGCN,PEMS08,42,default,18.61,27.46,13.83,20.48,30.75,15.09,24.87,37.19,19.24
adaptive_tgcn_fused_learnable_k5_pems08_seed42_fold0.json,AdaptiveTGCN,PEMS08,42,0,19.64,29.26,14.0,21.72,32.82,15.3,26.63,39.84,19.46
adaptive_tgcn_fused_learnable_k5_pems08_seed42_fold1.json,AdaptiveTGCN,PEMS08,42,1,19.4,29.17,16.24,21.3,32.63,17.9,25.79,39.46,22.87
adaptive_tgcn_fused_learnable_k5_pems08_seed42_fold2.json,AdaptiveTGCN,PEMS08,42,2,19.16,28.21,14.4,21.13,31.69,15.59,25.66,38.32,19.99
adaptive_tgcn_fused_learnable_k5_pems08_seed42_fold3.json,AdaptiveTGCN,PEMS08,42,3,17.69,26.33,13.28,19.65,29.78,14.53,23.96,36.25,17.95
adaptive_tgcn_fused_learnable_k5_pems08_seed52_fold0.json,AdaptiveTGCN,PEMS08,52,0,19.6,29.23,13.76,21.77,32.96,14.93,26.72,39.96,18.58
adaptive_tgcn_fused_learnable_k5_pems08_seed52_fold1.json,AdaptiveTGCN,PEMS08,52,1,20.02,29.72,17.02,22.03,33.29,19.13,26.74,40.42,24.84
adaptive_tgcn_fused_learnable_k5_pems08_seed52_fold2.json,AdaptiveTGCN,PEMS08,52,2,19.01,28.0,14.39,20.96,31.39,15.49,25.46,37.92,19.48
adaptive_tgcn_fused_learnable_k5_pems08_seed52_fold3.json,AdaptiveTGCN,PEMS08,52,3,17.78,26.48,13.76,19.45,29.56,14.68,23.44,35.51,17.86
adaptive_tgcn_fused_learnable_k5_pems08_seed62_fold0.json,AdaptiveTGCN,PEMS08,62,0,19.89,29.53,14.29,22.04,33.2,15.63,26.88,40.04,19.82
adaptive_tgcn_fused_learnable_k5_pems08_seed62_fold1.json,AdaptiveTGCN,PEMS08,62,1,20.81,30.74,17.71,22.88,34.41,19.55,27.44,41.18,24.84
adaptive_tgcn_fused_learnable_k5_pems08_seed62_fold2.json,AdaptiveTGCN,PEMS08,62,2,18.84,27.86,13.76,20.83,31.3,15.11,25.48,38.02,19.24
adaptive_tgcn_fused_learnable_k5_pems08_seed62_fold3.json,AdaptiveTGCN,PEMS08,62,3,17.97,26.64,14.2,19.85,29.98,15.27,24.22,36.42,18.85
adaptive_tgcn_fused_learnable_pems08_seed42_default.json,AdaptiveTGCN,PEMS08,42,default,19.24,28.23,14.21,21.18,31.67,15.98,25.39,37.89,20.09
adaptive_tgcn_physical_pems08_seed42_default.json,AdaptiveTGCN,PEMS08,42,default,19.02,27.95,14.94,21.03,31.42,16.59,25.9,38.43,21.55
agcrn_pems08_seed42_fold0.json,AGCRN,PEMS08,42,0,17.77,28.32,11.74,18.36,29.36,11.9,20.08,31.77,13.07
agcrn_pems08_seed42_fold1.json,AGCRN,PEMS08,42,1,19.55,33.92,17.74,20.24,35.07,18.83,22.01,37.49,20.89
agcrn_pems08_seed42_fold2.json,AGCRN,PEMS08,42,2,17.55,28.35,11.68,18.03,29.18,11.84,19.6,31.31,13.0
